t,H_tank,H_pool,m_cw,T_cw_in,T_return,p_b,k_p,Paff_MW,lost_MW,pump,gen
676.0,0.0,2.68627,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
680.0,0.0,2.68521,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
684.0,0.0,2.68414,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
688.0,0.0,2.68308,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
692.0,0.0,2.68201,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
696.0,0.0,2.68095,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
700.0,0.0,2.67989,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
704.0,0.0,2.67882,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
708.0,0.0,2.67776,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
712.0,0.0,2.67669,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
716.0,0.0,2.67563,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
720.0,0.0,2.67456,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
724.0,0.0,2.6735,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
728.0,0.0,2.67243,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
732.0,0.0,2.67137,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
736.0,0.0,2.6703,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
740.0,0.0,2.66924,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
744.0,0.0,2.66817,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
748.0,0.0,2.66711,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
752.0,0.0,2.66604,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
756.0,0.0,2.66498,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
760.0,0.0,2.66391,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
764.0,0.0,2.66285,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
768.0,0.0,2.66178,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
772.0,0.0,2.66072,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
776.0,0.0,2.65965,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
780.0,0.0,2.65859,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
784.0,0.0,2.65753,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
788.0,0.0,2.65646,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
792.0,0.0,2.6554,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
796.0,0.0,2.65433,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
800.0,0.0,2.65327,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
804.0,0.0,2.6522,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
808.0,0.0,2.65114,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
812.0,0.0,2.65007,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
